sample0,sample1,sample2,sample3,sample4
Cc1ncsc1-c1ncnc2c1ncn2C1OC(c2noc(C(C)(C)C)n2)CC1O,CCCCCCCCCCCCCCC=CC(O)C(=O)NC(=O)C=C(C)C=CCCCNC(=O)C1Cc2ccc(cc2)Oc2cc(ccc2-c2ccccc2)CC(Cc2ccncc2)C(=O)NC(NC(=O)C2(C)CCCN2C)C(=O)N1,S=C(S)N1CCNCC1,CC(C(=O)Oc1ccc(OC2CCN(COc3ccc(OCc4ccccc4)cc3)C2)cc1)N1C(=O)CCC1=O,CCN1c2ccccc2-n2c(C)nnc2-c2c(-c3ccccc3N)n[nH]c21
Cc1ccccc1Nc1nnc(-c2c(C(=O)N3CCOCC3)noc2C)o1,COc1ccc(S(=O)(=O)C2=NC(=O)CS2)cc1,CC(C)CC(NC(=O)C(CCS)NC(=O)CCCCCCCCCCCCCCCn1c(=O)[nH]c2ccccc2c1=O)C(=O)O,COc1ccc(C=Nc2ccc(-c3cc(O)c4cc(C)ccc4n3)cc2)cc1,CCc1ccc(-n2c(=S)[nH]c3ccc(C(=O)O)cc3c2=O)cc1
CSc1ncnc2c1ncn2OC(=O)c1cc(C)c(C)cc1[N+](=O)[O-],O=C1c2ccccc2C(=O)N1c1nc2n(c1-c1ccncc1)CCC2,N#Cc1c[nH]n2c(=O)c(O)c(C(=O)Nc3ccc(F)cc3)nc12,CN(C(=O)C1CSC2(C)CCC(=O)N12)c1ccc(C#Cc2ccc(F)cc2F)cn1,COc1cc(N2CCCC2)c(C(=O)c2ccnn2C)cc1C(F)(F)F
CC(C(=O)Sc1cccc2ccc(=O)[nH]c12)S(C)(=O)=O,COc1ccc(C(CNC(=O)COc2cc(Cl)ccc2Cl)N2CCCC2)cc1OC,COC(=O)C12OCC34C(CC5C(C)=C(Oc6cccc(NC(=O)C[N+](C)(C)C)c6)C(=O)CC5(C)C3C(O)C1O)OC(=O)C(OC(=O)CCc1ccccc1)C24,COc1cc2c(cc1O)OCC1Oc3c(ccc4c3C=CC(C)(C)O4)C(=O)C21,COc1cc(C2=NOC(C(=O)NCc3ccc(-c4ccccc4)cc3)C2)on1
Cc1cc(NC(=O)N2CCN(C(=O)c3cccs3)CC2c2nc3ccccc3[nH]2)on1,O=C(Nc1cccnc1)c1nc(N2CCc3ccccc3C2)nc2cccnc12,CC(=O)NC(C)C(=O)Nc1nn[nH]n1,CCN1C(=O)c2ccccc2Sc2ccc(C(=O)Nc3cccc(C)c3C)cc21,COc1ccc(CNC(=O)c2ccc(S(=O)(=O)N3CCOCC3)cc2)cc1OC
CC(C)c1cc(Nc2n[nH]c3cnc(-c4ccc(O)c(O)c4)cc23)n2nccc2n1,COc1cccc(CNC(=O)C(=O)c2ccc3c(c2)CCCC3)c1OC,Cc1ncn(-c2ccc3[nH]c(-c4ccc(-c5[nH]c(C)c(-c6nnc(C)c(=O)n6N)c5C)cc4)nc3c2)n1,COCCCNC(=O)CN(c1ccc(C)cc1)S(=O)(=O)c1ccc2c(c1)OCCN2C,COc1cc(-c2c(C)cc3oc(=O)cc(CO)c3c2C)cc(OC)c1CC=C(C)C
O=c1ccn(CC2NC(c3c(Cl)cccc3Cl)C(O)C2O)c(=O)[nH]1,Cc1ccc(Nc2ncnc3cc4c(ccn4CC4CCN(C)CC4)cc23)cc1,COc1ccc(NC(=O)c2cn(C(F)(F)F)c3nc(Nc4ccc(N5CCN(C)CC5)cc4)ncc3c2=O)cc1,CC(C)=CCOC1OC2OC3(C)CCC4C(C)CCC(C1C)C24OO3,CC(=O)N(c1ccccc1)C1COC2C(OCC3OC(OC(=O)NCCC(C(=O)O)C(=O)O)C(O)C(O)C3O)COC21
Cc1cc(NC(=O)c2c(Cl)cnn2C)c(=O)n(C)c1,COc1cc(-n2ccnc2SCC(=O)NC2CC2)ccc1Oc1cc(C#N)ncn1,COc1ccc(NC(=O)c2c(NC(=O)c3ccccc3)sc3c2CCC3)cc1C(=O)N1CCOCC1,CCc1ccc(CC)cc1,CCCNn1c(-c2cccc(C(CCSC(=O)C(C)C)c3cccc(NC(=O)SC)c3)c2)nc(C(=O)NCCO)c1C
COc1ccc(Oc2ccc(N(C)C)cc2)cc1,O=C1C(Cl)=C(n2cc(-c3cc(=O)[nH][nH]3)c(-c3ccccc3Cl)c2)C(=O)c2ccccc21,CC(=O)Nc1cc(OC(=O)NCC(=O)Nc2ccc3c(c2)OCCO3)ccn1,CCOc1ccc(C(=O)Nc2ccc3sc(C(=O)O)nc3c2)cc1OC(C)C,CC(C1CC1)N1CCC(N2CCN(C)C2=O)C1
Cc1cc(-c2n[nH]c3cc(NC(=O)NCCC4CCCC(=O)N4)ncc23)ccn1,CN1C=NC2C(NC(F)(F)F)=NC=NC21,CN1C(=O)C(=NNc2ccc(-c3ccccc3)cc2)C(=O)c2ccccc21,NC(=O)c1ccc2cccc(OCC(=O)n3cc(C(F)(F)F)ccc3=O)c2c1,Cn1c(Cn2nc3cccc(C(C)(C)C)n3c2=O)n[nH]c1=O
O=C(Nc1ccc(O)cc1)N1C(=O)C(c2ccccc2)N(c2ccccc2)C1=O,Cn1c(=O)n(C)c2cc(C(=O)O)c(OC3CCN(CCOc4ccc(Cl)cc4)CC3)cc21,O=C1c2c(Cl)ccc(Cl)c2C(=O)N1CCN1CCN(c2cccc(C(F)(F)F)c2)CC1,CCc1cccc(S(=O)(=O)C(CNC(=O)OCc2ccccc2)c2csc(-c3cccc(F)c3)n2)c1,COC(=O)c1ccc(Br)c(C=Nc2cccnc2)c1O
CN1CC(=Cc2ccccn2)C(=O)C(C(=O)Nc2ccccc2)C1,Nc1nc(-c2ccccc2O)nc2c(N)nc(NC(CCN3CCOCC3)C3OC(OP(=O)(O)O)C(OS(=O)(=O)O)C(OP(=O)(O)O)C3OS(=O)(=O)O)nc12,OC12CCCCC1C(CCCc1cccc3ccccc13)N(Cc1cccs1)CC2,CCn1c2c(c3ccccc31)CCCC2(CC)C(=O)CS,O=Cc1ccc(-n2cnc3c(S)ncnc32)cc1Cl
Cc1cccc(N2CCc3nnc(-c4cc(N)cc(-n5ccnc5-c5ccccn5)n4)n3CC2)c1,O=c1c2ccccc2nnn1CCNCc1ccc(Cl)cc1,CN1CCN(c2cc(C(F)(F)F)cc(C(F)(F)F)c2)C(c2ccc(C(F)(F)F)cn2)C1,COc1cc2c(cc1C(=O)N1CCC(C3=C(c4ccc(Cl)cc4)CC(NC4(C)COC4)(c4ccc(Cl)cc4)N=C3O)CC1)CCCNC2,CCCc1nc(Cl)c(C(=O)NCC(C)(NC(=O)c2ccccc2Cl)C(=O)NC(C(=O)O)C(C)C)[nH]1
CC(=O)Nc1ccccc1SCc1cn2c(-c3ccsc3C)c(C(=O)c3ccccc3)nc2s1,Cn1cc(Cl)c(C(=O)NCC(=NO)c2ccc(C#N)cc2)n1,COCCOc1cc2ncnc(Nc3ccc(Br)cc3)c2cc1OCc1nnn[nH]1,CCc1ncccc1OCC(=O)N1CC(N2CCC(n3cccn3)CC2)CC1OCC(N)=O,CC1CCN(S(=O)(=O)c2cccc(OC(=O)c3ccc([N+](=O)[O-])cc3)c2)CC1
CC(=O)Oc1ccc(C2NC(=O)C(NCc3ccccc3)CCCCCC=CC3CC3(c3ccc([N+](=O)[O-])cc3)NC2=O)cc1,Nc1c(NC(CO)C(=O)O)c(=O)oc2ccccc12,Cc1c(Cc2nn(CO)c(=O)c3ccccc23)c(=O)oc2c(C)c(OC3CCCCC3)ccc12,COc1ccc(OC2CC(F)C(=O)N2C(=O)c2ccccc2)cn1,COc1cc(O)c2c(c1)C(O)C1C(CC(OC(=O)C=C(C)C)C(C)(O)C1O)C2=O
COc1cc(C=Cc2cc(C)c3cccnc3c2O)c(OC)c2c1C(=O)C=CC2=O,O=C1OCC2(CCC2)N1Oc1ccnc(N2CCN(c3cccc(C(F)(F)F)c3)CC2)n1,COC(=O)C1(S(=O)(=O)c2ccc(C)cc2)CCCCc2cnc3c(-n4ccnc4)cnn3c21,CC(C)(C)OCCNC(=O)Nc1nc(C2CCCCC2)ns1,CCCCCCP(=O)(F)OCCNCc1ccccc1
COc1ccc(C2=NN(C3CCN(CN)CC3)C(=O)C2(C)C)cc1Cl,O=S(=O)(NCc1ccccc1)c1ccc(Br)cn1,Nc1ccc(-c2cccc(Oc3ccccc3N)c2)cc1N,CCOc1cc(N(CC(=O)NC2(C(=O)N(C)C)CCCCC2)C2CCN(N(C)C)CC2)ccc1O,COc1ccccc1CC(=O)N1c2ccccc2CC1(C)C
CC(C)OC1CCCN(Cc2cn(-c3ccccc3)nc2-c2ccc(NC(=O)C3CC3)cc2)C1,CCOC(=O)c1cn(C)c2ccc(F)cc2c1=Nc1ccc(Cc2ccccc2)cc1,O=C(O)c1ccc(Oc2noc(N3CC4CC3CN4Cc3cc(C(F)(F)F)ccc3Cl)c2C(=O)O)cc1,CCN(Cc1ccc(Cl)c(F)c1)S(=O)(=O)c1nc(C(F)(F)F)c2cc(-c3cn[nH]c3)c(-c3ccc(F)cc3)nc2n1,OCCn1cnc2cc(SCc3ccc(Cl)cc3)ccc21
Cn1cc(-c2ccc(C(=O)NCP(=O)(O)O)cc2)nc1SCC(=O)NCc1ccc(C(=O)O)cc1,COC(=O)C1(O)C(CO)C2(OC)C=CCN3CCC4(c5cc(Br)c(OC)c(OC)c5N(C)C14)C32,CC(=N)N1CCC(C(=O)N(CCC(C2=CCCCC2)c2ccc(OCc3ccccc3)cc2)C(C)C)CC1,CC(C)CC12C(=O)N(c3ccc(-c4ccc(C(F)(F)F)cc4)cc3)C(=O)N1C(c1ccccc1)C1C(=O)N(Cc3ccc(-c4ccncc4)cc3)C(=O)C12,CN1CCC(CCNC(=O)c2ccc(NC(=O)C3CCN(Cc4ccc(O)cc4)CC3)cc2)CC1
COc1ccc(-c2[nH]c(-c3ccc(CC(C#N)=CNCCc4ccc(OC)c(OC)c4)cc3)c3c2CCCC3)cc1,Cc1ccc(Oc2ccc3cnccc3c2)cc1,CN1C(CNc2ccc(Cl)cc2)C(O)C(O)C1CC(F)(F)CO,Fc1c(C[n+]2ccc(C=Cc3ccccc3)cc2)ccc(N2CCNCC2)c1F,Cc1nc(N2CCN(C(=O)C3CCCCC3)CC2=O)ccc1OCc1ccccc1Cl
CCc1ccc2ncc(C(=O)N3CCCCC3C(=O)O)c(N3CCN(CCO)CC3)c2c1,O=C1OCC(c2ccnc(NN3CCCCO3)n2)N1c1ccc2ncnn2c1,CC1CN(C(C)CO)C(=O)c2cc(NC(=O)CNC3CC3)ccc2OC1CN(C)S(=O)(=O)c1ccccc1,Cc1ccc(N(c2ccnc(Cl)n2)S(C)(=O)=O)cc1,COc1ccc(C(=O)Nc2cnc(OC)c(C(=O)O)c2)cc1
Cn1c(C2CC(=O)N(OC(=O)c3c(Cl)cccc3Cl)C2)nc2ccccc21,CC(C)N(CCCCCCCCCCC(=O)O)C1CC=CCC(CN)C(=O)NC(C(F)F)COC1=O,COC(=O)N1C(C)=Cc2ccccc2C1C(=O)CCCCC#Cc1ccc(O)cc1,CN1CCN(CCCNc2cccc(C(=O)NC3CCOc4cc(Nc5ccccc5)ccc43)c2)CC1,CN=C(S)NS(=O)(=O)c1ccc(C=CC=C(C)c2nc3ccccc3s2)cc1Cl
COc1ccc(-c2nn3c(OCc4ccccc4)nc(=S)nc3o2)cc1,CCC1ON=C(C=c2sc3n(c2=O)C2c4ccccc4OC(C)(N=3)C2OC)C1CN1CCCCC1,Cc1ccccc1Nc1c(-c2nc3ccccc3n3cnnc23)nc2ncccn12,FC(F)(F)Oc1ccc(Nc2nc3ccccc3n3nnnc23)cc1,Cc1nn(C)c(C(=O)NCc2ccco2)c1Cl
O=C(C=Cc1cccs1)NN=C1c2ccccc2C(=O)C1c1ccc(OCCO)cc1,C=CC(=O)N1CCCC(C(=N)N)C1,Cc1ccsc1S(=O)(=O)CN1CCOC2(C1)CC(C)(C)Oc1ccccc12,O=C(Nc1cccc2c1cnn2N1CCCCC1)N1CCN(C2CCCCC2)CC1,OCc1ccc2cc(F)ccc2n1
Cc1cc(N)nc(-c2ccc(CNC3CNCC(c4ccc(NC(=O)C(C)(C)C)cc4)C3)cc2)c1,O=C(C=Cc1nnn2c1ccc1cc(O)ccc12)Nc1cccc(F)c1,Cc1nc2nccc(C3NCCc4ccccc43)c2[nH]c1=NC(C)(C)C,CCOC(=O)Cn1ccc2c(C)nc3ncnn3c21,CC1CC(=O)Nc2ccc(N3C(=O)CON(C)C3=S)cc2N1C(N)=O
CC(=O)C1CCC2C3CCC4CC(N(C)C5CCCCC5)CCC4(C)C3CCC12C,COC(=O)Nc1nc(C)c(CCCOc2ccc(C)cc2)c(O)n1,COc1ccc(NC(=O)c2ccc(C)c(NN=C3C(=O)NC(=O)NC3=O)c2)cc1,CCC(C)CNc1cc(C(F)(F)F)ccn1,O=c1c2cc3ccccc3cc2c2ccccc2n1-c1ccc(Br)cc1
COc1ccccc1-c1nc2cc(Cl)c(Cl)cc2o1,Cc1cc(C)cc(C(=O)OCC(=O)C2(Cc3ccc(F)cc3)C(C)CC3C4CCC5=CC(=O)C=CC5(C)C4(Cl)C(O)CC32C)c1,COc1cccc(CC(=O)SC2C3CC4CCN(C3)CC2C4)c1,c1cncc(CCN2CCN(CCCc3ccsc3)CC2)c1,CNC(=O)N1CCc2ccc(Oc3ccc(F)cc3)cc21
CC(C)c1nnc2n1CCN(Cc1nc(O)c3cc(Nc4ccccc4)sc3n1)C2,CCOc1ccccc1C(=O)NCCN(C)C(=O)C(CC(=O)O)NC(=O)OC(C)(C)C,CCOC(=O)c1c(C)nc(N)nc1Cl,COC(=O)c1cc2c(s1)C(=O)c1c(N(C)C)c3ccc(C)cn3c1C2=O,COc1ccccc1N1CCN(c2cc(-c3ccccc3)nc(C#N)n2)CC1
CC(C)(C)c1nnn(CC(=O)c2ccc(O)cc2O)c1C#N,Cc1cn(OCc2nccs2)c2cc(C(=O)Nc3ccc(F)cc3)ccc12,CN(C)CCCN1C(=O)c2cccc3cc(NC(=O)CCc4ccc(Br)s4)cc(c23)C1=O,CC(CC(=O)NCC(=O)[n+]1ccccc1[N+](=O)[O-])C(=O)O,Cc1ccc(NC(=O)Nc2cn(C(C)C)nc2-n2cnc3ccc(C(C)(C)C)cc3c2=O)cc1Br
CC=CCOC(=O)CSc1nc(O)cc(Cc2ccccc2)n1,C=C1C(=O)OC(S(C)(=O)=O)C1C(=O)NCCC,O=C(Nc1cccnc1)c1ccc(Cl)cn1,COc1ccc(C(=O)Nn2c(C=Cc3cccc(C(C)(C)C)c3)nc3cc(Cl)ccc3c2=O)cc1,Cc1ccc(-c2nnc(CNc3ccccc3C(=O)Nc3ccc4c(c3)C3(CCN(C)CC3)CO4)o2)cc1
CCN(CN(C)C(=O)Nc1nc(-c2ccccc2)c([N+](=O)[O-])s1)c1ccccc1,COc1ccc(C(C#N)(CCCSSc2nc(C#N)c(OC)c3c2COC(C)(C)C3)C(C)C)cc1,COC(=O)n1c(=O)cc(Nc2cccc(Nc3ccccn3)c2)n(CCCc2cccc(OC)c2OC)c1=O,NC(=O)C(Cc1ccc([N+](=O)[O-])cc1)Oc1ccc(-c2nnn(-c3ccccc3)n2)cc1,O=C(C=C1CN(CC2(C(=O)CNc3ccc(F)cc3)OCCO2)CC(=Cc2ccccc2)C1=O)Nc1cccc2ccccc12
CCc1ccccc1CSc1nnc(N2CCCC2)s1,CCOc1ccccc1NC(=O)NCc1ccnc(NC2CCN(C)CC2)n1,CS(=O)(=O)c1ccc(NC(=S)NCc2cccnc2)cc1,O=C(c1ccc(S(=O)(=O)c2ccc(N3CCOCC3)cc2)cc1)N1CCOCC1,Cc1ccc(C(CC(=O)O)NC(=O)C2CCCN2C(=O)Cn2c(=O)sc3ccc(Cl)cc32)cc1
O=S(=O)(c1ccc(Cl)c(S(=O)(=O)N2CC3CNCC(C3)C2)c1)N1CCCC1,CCOC(=O)c1cc(OCc2ccc(Cl)cc2)c(OC2CCN(C(=O)NCC(C)C)CC2)cc1F,CC(C)c1noc(C2c3c(n[nH]c3-c3ccnc(N(C)C)c3)C(=O)N2c2ccc(Cl)cc2)n1,Cc1c(O)ccc2cc(-c3ccc(C=C4SC(=O)NC4=O)o3)c(=O)oc12,CCCc1cc(C(=O)Nc2ccc3ccccc3c2)cc(C#N)c1OC
CS(=O)(=O)c1ccc(C=c2[nH]c(=O)c(=CC=Cc3ccccn3)[nH]c2=O)cc1,O=C(Nc1ccc(CCN2CCN(c3ncnc4ccccc34)CC2)cc1)C1CCN(c2ccccn2)CC1,CCOC(=O)Nc1nn(-c2ccccc2C(F)(F)F)c(=O)c(S(C)(=O)=O)c1C,COC(=O)Nc1cnc2cnc(-c3cc(OC)cc(C(F)(F)F)c3)cn12,NCCCCC(N)C(=O)NC(CC(=O)c1ccccc1)C(=O)N1C2CCCCC2CC1C(Cc1ccccc1)C(=O)NC(CCCN=C(N)N)C(=O)NCC(=O)O
Cc1ccc(C(=O)NCCc2ccc(S(=O)(=O)NCCC(=O)c3ccc(Cl)cc3)cc2)cc1C,COCCCNc1ccn(C2OC(CO)C(O)C2O)c(=O)n1,COc1ccccc1CCNC(=O)c1ccc2no[n+]([O-])c2c1,CC(C)C(N)C(=O)NCCc1cccc(-c2cnc(N3CCN(C)C3=O)nc2)c1,CS(=O)(=O)c1ccc(C(=O)C23CC4(C2)C(CN(c2cccc(F)c2)C4c2ccc(F)cc2)C3C2CCSCC2)cc1
O=C1C(C2CCCCC2)C(c2ccc(N=C(O)c3ccc(-n4ccnc4)cc3)cc2)N1CO,C[N+]1(C)CCN(C(=O)C(N)Cc2ccc(-c3nnn[nH]3)cc2)CC1,CSc1ccc(C(=O)OCC(=O)NCC(=O)O)cc1,COc1ccccc1C(=O)N=C1SC2CS(=O)(=O)CC2N1Cc1ccccc1,Cc1ccc(N2CCN(C(=O)C=Cc3c(C)nc4ccccn34)CC2)cc1
COc1ccc(NCc2cnc(-c3nonc3NS(=O)(=O)c3ccccc3F)s2)cc1,Cn1nc(N)nc1N1CCc2c([nH]c3ccc(F)cc23)C1c1cccc(CO)c1,COCC(=O)N1CCOCCN(CC(C)OC(C)=O)CCOCC1,CCOc1cc(O)cc(S(=O)(=O)c2ccc(F)cc2)n1,CSN1C(=O)c2cccc3c(N4CCOCC4)ccc(c23)C1=O
CC1CCC(=O)N(c2cn(-c3ccccc3)c(=O)c3c2c2ccccc2n3C)CC1,Cc1cc(C)n2nc(SCC(=O)NC(C)(C)C)nc2n1,Cc1cccc(C)c1NC(=O)N(C)CC(=O)Nc1ccc(F)cc1F,NC(=O)c1ccc(Oc2ccc3c(c2)C(O)(C(F)(F)F)c2ccccc2-3)cc1,COc1ccc2c(c1)[n+]([O-])c([N+](=O)[O-])c(S(=O)(=O)c1ccc(F)c(F)c1)[n+]2[O-]
CCOC1C(OC(=O)Nc2ccc3c(c2)NC(=O)N(CCO)C3)COC2(COC(C)(C)O2)C1(O)c1ccc(OC)cc1,COc1ccc(-c2nnc(NN=Cc3ccccc3F)n2N)cc1Cl,COc1ccc(CCN2CCN(c3ncccc3OC)CC2)cc1OC,CNC(C)OCC1OC(n2ccc3c(NC(C)=O)nc(N)nc32)C(CO)C1O,Cc1c(CC(C)C(=O)NCc2cccc[n+]2[O-])cnn1Cc1ccc(C(F)(F)F)cc1
COc1cnc(OC)n2nc(Nc3cccc4c(=O)[nH][nH]c(=O)c34)nc12,CCCCCCCCCCCCCOc1ccc2c(c1)CCc1c-2c2c(c3c4ccccc4n(CCCC(C)(C)O)c13)CNC2=O,CCCC1NC(=O)C(CCC=CCCCCC(=O)O)NC(=O)C(Cc2ccc(OC)cc2)NC(=O)C(Cc2ccccc2)NC(=O)C(CC(C)C)N(C)C1=O,Cc1cccc(-c2cccnc2)c1CC(=O)c1c(-c2ccc(-n3ccnc3)cc2)nn(-c2ccccc2)c1C,CC(C)(C)CN1CCc2nc(CNC(=O)C(c3ccc(Cl)cc3)N3CCOCC3)sc2C1
CCOc1ccc2oc(C=Cc3cccc(CCCN(C)C)c3)cc2c1,CCOP(=S)(S)Oc1ccccc1,CCc1ccc(OC2=NCC(=O)N2Nc2ccc(F)cc2)cc1,Cc1ccc2c(c1)c1c(c(=O)n(-c3ccc(C)c(C)c3)c(=O)n1Cc1cccnc1)n2C,CC(C)C(Nc1ccc2ncn3c4ccccc4c(=O)c1c23)C(=O)O
Cc1cccc(-c2cc(C(=O)OC3C=CC(Cn4c(C)nc5ccccc54)C3)c(C)n2-c2cccc(C)c2)c1,Cc1nc(CC(=O)N2CC(C)(C)c3ccc(Sc4nc5ccccc5n4C)cc32)cs1,O=C(CN1CCN(C(=O)c2ccc(NS(=O)(=O)c3ccc(C(F)(F)F)cc3)cc2)CC1)c1ccccc1,Cc1ccc(-c2nn(C)cc2CSc2nc(N)c(C#N)c(CCc3cccnc3)c2C#N)c(C)c1,COc1cc(-c2cn3cccnc3n2)cc2c(=O)[nH]c(-c3cccc(C(N)=O)c3)nc12
CN1CCN(CN2C(=O)c3ccccc3C23CC(=O)NC3=O)CC1,COc1sc(-c2cc[nH]n2)c2c1C(=O)CC(C)(C)C2,CCC(C)(C)Cn1nnnc1C(=O)OCc1c[nH]c2nccnc12,CCOc1ccc2c(c1)OC(Cc1cccc(Cl)c1)C(OCc1ccccc1)C2=O,CCC1c2ccccc2CC1NC1=C(C2CC3CN(C(=O)C(O)CO)CC3C2)NNc2c(C)cc(C(C)C)cc21
O=C(CN(Cc1ccccc1)c1ccc(Cl)cc1)c1nc2c(s1)CCc1ccccc1-2,CC(C)CNc1cc(-c2ccc(C(F)(F)F)cc2)nc(NS(C)(=O)=O)n1,Cc1nnc(-c2cc(Cl)cc(CO)c2)c2nn(NC3CCOC3)c(C)c12,Cc1cc2ncc(N(C)Cc3nnc(C(N)Cc4ccccc4)o3)c(C)n2n1,Cc1noc(-c2cccc(CC(O)=NC3CCCC(O)(C(=O)O)C3)c2)n1
